State,Year,Quater,Districts,Transaction_count,Transaction_amount
Andhra Pradesh,2019,2,west godavari district,2402074,5676818258.955046
Andhra Pradesh,2019,2,kurnool district,3895824,7358285187.018034
Andhra Pradesh,2019,2,chittoor district,5983308,10982727976.224325
Andhra Pradesh,2019,2,guntur district,5005275,10405246943.481495
Andhra Pradesh,2019,2,krishna district,6428472,13437029115.620754
Andhra Pradesh,2019,3,east godavari district,6537303,11387726470.57774
Andhra Pradesh,2019,3,srikakulam district,2556296,4610131289.524039
Andhra Pradesh,2019,3,spsr nellore district,4150195,8256600118.735449
Andhra Pradesh,2019,3,vizianagaram district,2861581,4922069039.19216
Andhra Pradesh,2019,3,visakhapatnam district,16694947,26944837120.046288
Andhra Pradesh,2019,3,prakasam district,3430750,7354502261.150911
Andhra Pradesh,2019,3,anantapur district,4889720,9554081289.488277
Andhra Pradesh,2019,3,ysr district,3296586,7447544274.2117815
Andhra Pradesh,2019,3,west godavari district,3179541,6627629029.01413
Andhra Pradesh,2019,3,kurnool district,5139134,9025632779.412457
Andhra Pradesh,2019,3,chittoor district,8201783,13837455758.755266
Andhra Pradesh,2019,3,guntur district,6942304,13075661264.188034
Andhra Pradesh,2019,3,krishna district,8408474,16404073560.500784
Andhra Pradesh,2019,4,east godavari district,9285739,16816774065.301317
Andhra Pradesh,2019,4,srikakulam district,3712555,6832369301.879345
Andhra Pradesh,2019,4,spsr nellore district,5877804,11786014089.194027
Andhra Pradesh,2019,4,vizianagaram district,3998234,7175851807.068796
Andhra Pradesh,2019,4,visakhapatnam district,23594874,39133296330.044624
Andhra Pradesh,2019,4,prakasam district,4865473,10604077824.801035
Andhra Pradesh,2019,4,anantapur district,6764112,13887248889.064066
Andhra Pradesh,2019,4,ysr district,4793157,10865073855.730783
Andhra Pradesh,2019,4,west godavari district,4596479,9710614747.20177
Andhra Pradesh,2019,4,kurnool district,7001958,13233105728.54823
Andhra Pradesh,2019,4,chittoor district,11246986,19298476027.875484
Andhra Pradesh,2019,4,guntur district,9761330,18565626418.035915
Andhra Pradesh,2019,4,krishna district,11719402,23039786404.04664
Andhra Pradesh,2020,1,east godavari district,11346242,21854701379.428688
Andhra Pradesh,2020,1,srikakulam district,4835092,9777575594.177538
Andhra Pradesh,2020,1,spsr nellore district,7430247,15387829694.446861
Andhra Pradesh,2020,1,vizianagaram district,5042066,9879174240.920494
Andhra Pradesh,2020,1,visakhapatnam district,27115031,48809747614.678894
Andhra Pradesh,2020,1,prakasam district,6318396,14169104764.526735
Andhra Pradesh,2020,1,anantapur district,8466129,17864325752.82528
Andhra Pradesh,2020,1,ysr district,6031255,14059924636.819912
Andhra Pradesh,2020,1,west godavari district,5919670,12995834340.716236
Andhra Pradesh,2020,1,kurnool district,8246869,17022710311.813046
Andhra Pradesh,2020,1,chittoor district,13257740,23441848567.344193
Andhra Pradesh,2020,1,guntur district,11493331,22992734620.64621
Andhra Pradesh,2020,1,krishna district,12175289,24481702770.71471
Andhra Pradesh,2020,2,east godavari district,13130334,26319906327.32029
Andhra Pradesh,2020,2,srikakulam district,6425515,12153650076.875832
Andhra Pradesh,2020,2,spsr nellore district,9454274,20665376460.772232
Andhra Pradesh,2020,2,vizianagaram district,6690313,12819344389.545382
Andhra Pradesh,2020,2,visakhapatnam district,25300401,48293889917.41437
Andhra Pradesh,2020,2,prakasam district,8844580,19846026726.904335
Andhra Pradesh,2020,2,anantapur district,10473739,22094006659.412506
Andhra Pradesh,2020,2,ysr district,8033609,19597207268.132023
Andhra Pradesh,2020,2,west godavari district,7273096,16585866855.159784
Andhra Pradesh,2020,2,kurnool district,9821381,22419372061.805172
Andhra Pradesh,2020,2,chittoor district,14848197,27361300300.01902
Andhra Pradesh,2020,2,guntur district,12308707,27463593607.839108
Andhra Pradesh,2020,2,krishna district,12313709,26964149095.366295
Andhra Pradesh,2020,3,east godavari district,17972431,39300043804.75851
Andhra Pradesh,2020,3,srikakulam district,8286289,18029574581.337425
Andhra Pradesh,2020,3,spsr nellore district,16468209,39128324534.03022
Andhra Pradesh,2020,3,vizianagaram district,8236703,17567816576.501263
Andhra Pradesh,2020,3,visakhapatnam district,34421299,67628440368.111465
Andhra Pradesh,2020,3,prakasam district,12266310,31221704852.44969
Andhra Pradesh,2020,3,anantapur district,14447683,34102037972.65785
Andhra Pradesh,2020,3,ysr district,11934653,32037007334.12973
Andhra Pradesh,2020,3,west godavari district,10412351,25408608725.754295
Andhra Pradesh,2020,3,kurnool district,13243292,32529351107.17173
Andhra Pradesh,2020,3,chittoor district,20501863,42811566246.16463
Andhra Pradesh,2020,3,guntur district,17601395,42531195809.75448
Andhra Pradesh,2020,3,krishna district,19110457,44788458672.084435
Andhra Pradesh,2020,4,east godavari district,25989490,58732615663.118416
Andhra Pradesh,2020,4,srikakulam district,11092184,25222520275.27882
Andhra Pradesh,2020,4,spsr nellore district,20934374,49115443663.37911
Andhra Pradesh,2020,4,vizianagaram district,10580824,24094847668.445065
Andhra Pradesh,2020,4,visakhapatnam district,46551467,91879823025.40399
Andhra Pradesh,2020,4,prakasam district,16176867,41852443493.515396
Andhra Pradesh,2020,4,anantapur district,20996384,49732610814.26222
Andhra Pradesh,2020,4,ysr district,15676878,42572974713.44026
Andhra Pradesh,2020,4,west godavari district,15674762,40310975762.603455
Andhra Pradesh,2020,4,kurnool district,18737323,44718203115.22612
Andhra Pradesh,2020,4,chittoor district,29590411,61505711149.79541
Andhra Pradesh,2020,4,guntur district,26136538,60641872021.25432
Andhra Pradesh,2020,4,krishna district,27981050,64461504667.60723
Andhra Pradesh,2021,1,east godavari district,26190701,60027984987.96951
Andhra Pradesh,2021,1,srikakulam district,11160473,26486623313.092724
Andhra Pradesh,2021,1,spsr nellore district,22541428,52210333201.53073
Andhra Pradesh,2021,1,vizianagaram district,10514582,24153782497.243248
Andhra Pradesh,2021,1,visakhapatnam district,48248923,95308386037.84721
Andhra Pradesh,2021,1,prakasam district,15175395,41396223622.174774
Andhra Pradesh,2021,1,anantapur district,20102957,48353870395.01808
Andhra Pradesh,2021,1,ysr district,15374473,42570919448.50447
Andhra Pradesh,2021,1,west godavari district,16015685,42124030669.36126
Andhra Pradesh,2021,1,kurnool district,17918524,44941629659.56964
Andhra Pradesh,2021,1,chittoor district,29342609,60947491846.66089
Andhra Pradesh,2021,1,guntur district,27445045,64207987853.108406
Andhra Pradesh,2021,1,krishna district,29717175,69715406644.53485
Andhra Pradesh,2021,2,east godavari district,31717908,74604325863.66068
Andhra Pradesh,2021,2,srikakulam district,13546232,32298129544.540867
Andhra Pradesh,2021,2,spsr nellore district,30290406,72283071757.09679
Andhra Pradesh,2021,2,vizianagaram district,12689494,29140685236.830723
Andhra Pradesh,2021,2,visakhapatnam district,54390299,114439012713.35336
Andhra Pradesh,2021,2,prakasam district,19944047,54535328043.04135
Andhra Pradesh,2021,2,anantapur district,25123346,60987487571.279915
Andhra Pradesh,2021,2,ysr district,18457361,52523527031.02132
Andhra Pradesh,2021,2,west godavari district,20950964,57233116236.18796
Andhra Pradesh,2021,2,kurnool district,21972396,56659287474.995804
Andhra Pradesh,2021,2,chittoor district,34344902,73654690122.43158
Andhra Pradesh,2021,2,guntur district,32968819,82356914463.83287
Andhra Pradesh,2021,2,krishna district,36370960,90021923049.96454
Andhra Pradesh,2021,3,east godavari district,39572714,89380370072.7078
Andhra Pradesh,2021,3,srikakulam district,15639768,34836400769.876816
Andhra Pradesh,2021,3,spsr nellore district,34411958,77839676988.30869
Andhra Pradesh,2021,3,vizianagaram district,14510005,31383541628.212524
Andhra Pradesh,2021,3,visakhapatnam district,69220981,136945652159.26515
Andhra Pradesh,2021,3,prakasam district,24116580,63367713446.928055
Andhra Pradesh,2021,3,anantapur district,30366444,70291248155.64975
Andhra Pradesh,2021,3,ysr district,22439316,60683557724.652336
Andhra Pradesh,2021,3,west godavari district,26245039,66647238455.1675
Andhra Pradesh,2021,3,kurnool district,26377809,62527453761.59807
Andhra Pradesh,2021,3,chittoor district,42628568,89371931753.04831
Andhra Pradesh,2021,3,guntur district,41675093,96525353090.12305
Andhra Pradesh,2021,3,krishna district,44828275,104417897558.58972
Andhra Pradesh,2021,4,east godavari district,48992531,106725597026.00356
Andhra Pradesh,2021,4,srikakulam district,18501857,39713657870.15512
Andhra Pradesh,2021,4,spsr nellore district,41921081,92256405076.26547
Andhra Pradesh,2021,4,vizianagaram district,17253059,36577529464.9687
Andhra Pradesh,2021,4,visakhapatnam district,82711538,159530099772.73474
Andhra Pradesh,2021,4,prakasam district,27858275,71323060008.47623
Andhra Pradesh,2021,4,anantapur district,36129136,81239787006.64764
Andhra Pradesh,2021,4,ysr district,26340348,69081850069.2033
Andhra Pradesh,2021,4,west godavari district,33235175,81292461575.08182
Andhra Pradesh,2021,4,kurnool district,31782248,73968947669.64754
Andhra Pradesh,2021,4,chittoor district,51119640,103985734663.73514
Andhra Pradesh,2021,4,guntur district,50919286,115553993673.17337
Andhra Pradesh,2021,4,krishna district,55489829,125015323207.89836
Andhra Pradesh,2022,1,east godavari district,54738830,121067103712.79568
Andhra Pradesh,2022,1,srikakulam district,20990782,46898912115.649216
Andhra Pradesh,2022,1,spsr nellore district,47645702,104895571602.13988
Andhra Pradesh,2022,1,vizianagaram district,19278262,41994853361.58879
Andhra Pradesh,2022,1,visakhapatnam district,88233362,170120350591.26004
Andhra Pradesh,2022,1,prakasam district,31340975,79494373254.71565
Andhra Pradesh,2022,1,anantapur district,40613148,90197023268.43825
Andhra Pradesh,2022,1,ysr district,29783739,78421693518.90942
Andhra Pradesh,2022,1,west godavari district,37271259,92397939903.60938
Andhra Pradesh,2022,1,kurnool district,35093633,81568420500.54749
Andhra Pradesh,2022,1,chittoor district,58561024,117900595508.634
Andhra Pradesh,2022,1,guntur district,57226996,129673727687.08942
Andhra Pradesh,2022,1,krishna district,61826199,139690081529.49048
Andhra Pradesh,2022,2,east godavari district,62072845,135531452997.6391
Andhra Pradesh,2022,2,srikakulam district,23727353,53754764122.4327
Andhra Pradesh,2022,2,spsr nellore district,54838708,121941082043.49483
Andhra Pradesh,2022,2,vizianagaram district,21766135,47294745020.495636
Andhra Pradesh,2022,2,visakhapatnam district,101387402,193242841582.14285
Andhra Pradesh,2022,2,prakasam district,36163507,90435082545.97766
Andhra Pradesh,2022,2,anantapur district,46099366,102138758015.76915
Andhra Pradesh,2022,2,ysr district,33154559,87601310069.59737
Andhra Pradesh,2022,2,west godavari district,44409239,107973244960.42824
Andhra Pradesh,2022,2,kurnool district,40165692,92409350855.50198
Andhra Pradesh,2022,2,chittoor district,67507661,136435445124.75616
Andhra Pradesh,2022,2,guntur district,66315749,147098141568.7623
Andhra Pradesh,2022,2,krishna district,73525814,163997729295.93134
Andhra Pradesh,2022,3,east godavari district,61467134,129677722169.74829
Andhra Pradesh,2022,3,srikakulam district,22126541,46899962921.785614
Andhra Pradesh,2022,3,spsr nellore district,42116582,95099325968.25972
Andhra Pradesh,2022,3,vizianagaram district,20440645,42513313394.84207
Andhra Pradesh,2022,3,visakhapatnam district,97434546,181124419863.61444
Andhra Pradesh,2022,3,prakasam district,35376080,87475230073.46387
Andhra Pradesh,2022,3,anantapur district,45165363,97735649608.10074
Andhra Pradesh,2022,3,ysr district,33119038,86016932181.12372
Andhra Pradesh,2022,3,west godavari district,43635951,101706854744.31876
Andhra Pradesh,2022,3,kurnool district,39557913,88415335176.31995
Andhra Pradesh,2022,3,chittoor district,65751781,133053581631.6395
Andhra Pradesh,2022,3,guntur district,65612317,141588522953.23773
Andhra Pradesh,2022,3,krishna district,71051144,153770559025.69125
Andhra Pradesh,2022,4,east godavari district,68016055,136531110139.86256
Andhra Pradesh,2022,4,srikakulam district,23693779,47726411107.88628
Andhra Pradesh,2022,4,spsr nellore district,42582064,92085916180.6851
Andhra Pradesh,2022,4,vizianagaram district,22205190,44467386404.34758
Andhra Pradesh,2022,4,visakhapatnam district,103790055,185306149744.73108
Andhra Pradesh,2022,4,prakasam district,37211077,88105031866.36835
Andhra Pradesh,2022,4,anantapur district,48299601,101533878537.23433
Andhra Pradesh,2022,4,ysr district,35201596,87360426792.81667
Andhra Pradesh,2022,4,west godavari district,47919930,105335724990.59325
Andhra Pradesh,2022,4,kurnool district,43524766,94667441029.08345
Andhra Pradesh,2022,4,chittoor district,70322534,136840859888.18155
Andhra Pradesh,2022,4,guntur district,70723763,146938735166.52365
Andhra Pradesh,2022,4,krishna district,76526667,157826011193.35443
Andhra Pradesh,2023,1,east godavari district,115196449,223454724672.0
Andhra Pradesh,2023,1,srikakulam district,42209999,86486032409.0
Andhra Pradesh,2023,1,spsr nellore district,71318689,143967164643.0
Andhra Pradesh,2023,1,vizianagaram district,38838861,76472384525.0
Andhra Pradesh,2023,1,visakhapatnam district,164358781,277211090180.0
Andhra Pradesh,2023,1,prakasam district,63671149,141672839638.0
Andhra Pradesh,2023,1,anantapur district,82127373,162287796625.0
Andhra Pradesh,2023,1,ysr district,59768512,140117633668.0
Andhra Pradesh,2023,1,west godavari district,79094558,165941144654.0
Andhra Pradesh,2023,1,kurnool district,72405172,149100361797.0
Andhra Pradesh,2023,1,chittoor district,120192355,218037027226.0
Andhra Pradesh,2023,1,guntur district,114246185,226244225817.0
Andhra Pradesh,2023,1,krishna district,122104381,238058890676.0
Andhra Pradesh,2023,2,east godavari district,131243375,245134717109.0
Andhra Pradesh,2023,2,srikakulam district,47633204,93082175904.0
Andhra Pradesh,2023,2,spsr nellore district,82056071,165181391414.0
Andhra Pradesh,2023,2,vizianagaram district,43625851,82671020353.0
Andhra Pradesh,2023,2,visakhapatnam district,184918179,303874597259.0
Andhra Pradesh,2023,2,prakasam district,73598725,158428689659.0
Andhra Pradesh,2023,2,anantapur district,91695174,180050369328.0
Andhra Pradesh,2023,2,ysr district,66809788,156231915019.0
Andhra Pradesh,2023,2,west godavari district,92533269,187699526244.0
Andhra Pradesh,2023,2,kurnool district,81475907,166991990104.0
Andhra Pradesh,2023,2,chittoor district,136283483,245550525910.0
Andhra Pradesh,2023,2,guntur district,132035450,254140764680.0
Andhra Pradesh,2023,2,krishna district,141748488,267001403933.0
Andhra Pradesh,2023,3,east godavari district,148701666,260414286361.0
Andhra Pradesh,2023,3,srikakulam district,51382393,91818203167.0
Andhra Pradesh,2023,3,spsr nellore district,93875073,176593750929.0
Andhra Pradesh,2023,3,vizianagaram district,47856766,83289704541.0
Andhra Pradesh,2023,3,visakhapatnam district,209884966,328927220951.0
Andhra Pradesh,2023,3,prakasam district,84447202,171207298619.0
Andhra Pradesh,2023,3,anantapur district,104539628,192477441164.0
Andhra Pradesh,2023,3,ysr district,76091693,168218516193.0
Andhra Pradesh,2023,3,west godavari district,102962058,191891823401.0
Andhra Pradesh,2023,3,kurnool district,92890445,172979053545.0
Andhra Pradesh,2023,3,chittoor district,152863845,265404757144.0
Andhra Pradesh,2023,3,guntur district,150246761,270651818044.0
Andhra Pradesh,2023,3,krishna district,159421907,279540224039.0
Andhra Pradesh,2023,4,east godavari district,162793144,282329255747.0
Andhra Pradesh,2023,4,srikakulam district,56291337,97021746702.0
Andhra Pradesh,2023,4,spsr nellore district,97721962,179306028468.0
Andhra Pradesh,2023,4,vizianagaram district,53248760,90289502507.0
Andhra Pradesh,2023,4,visakhapatnam district,223584765,344512874812.0
Andhra Pradesh,2023,4,prakasam district,89721677,174929737360.0
Andhra Pradesh,2023,4,anantapur district,113698752,203367177888.0
Andhra Pradesh,2023,4,ysr district,83729195,176644897379.0
Andhra Pradesh,2023,4,west godavari district,114825704,209237892746.0
Andhra Pradesh,2023,4,kurnool district,103816175,190597527675.0
Andhra Pradesh,2023,4,chittoor district,163521593,274132458092.0
Andhra Pradesh,2023,4,guntur district,160724947,281806839570.0
Andhra Pradesh,2023,4,krishna district,173309415,298339038877.0
Arunachal Pradesh,2018,1,lower dibang valley district,1356,1076236.814073793
Arunachal Pradesh,2018,1,lower subansiri district,1477,3650727.893614269
Arunachal Pradesh,2018,1,longding district,2321,4361531.578447229
Arunachal Pradesh,2018,1,west siang district,1887,4796675.565399804
Arunachal Pradesh,2018,1,kamle district,14,7971.330494807651
Arunachal Pradesh,2018,1,upper siang district,126,186610.66988095018
Arunachal Pradesh,2018,1,tirap district,945,1064265.0002443574
Arunachal Pradesh,2018,1,papum pare district,14224,32555848.462331478
Arunachal Pradesh,2018,1,kurung kumey district,84,99416.58027150274
Arunachal Pradesh,2018,1,siang district,252,339471.80434222345
Arunachal Pradesh,2018,1,lower siang district,1292,2337960.7148240386
Arunachal Pradesh,2018,1,kra daadi district,207,495375.1454853307
Arunachal Pradesh,2018,1,changlang district,3195,5380749.415278763
Arunachal Pradesh,2018,1,pakke kessang district,9,9131.404205737199
Arunachal Pradesh,2018,1,dibang valley district,2,169.88856537681642
Arunachal Pradesh,2018,1,west kameng district,5787,9540632.547015157
Arunachal Pradesh,2018,1,east siang district,3286,5533620.186295529
Arunachal Pradesh,2018,1,upper subansiri district,735,1358367.5018580484
Arunachal Pradesh,2018,1,east kameng district,529,473824.76595106337
Arunachal Pradesh,2018,1,lohit district,3747,11496949.54576835
Arunachal Pradesh,2018,1,lepa rada district,288,403149.46702687367
Arunachal Pradesh,2018,1,tawang district,2334,5055665.022950603
Arunachal Pradesh,2018,1,namsai district,1400,2162984.705083958
Arunachal Pradesh,2018,2,lower dibang valley district,1827,2561237.506207262
Arunachal Pradesh,2018,2,lower subansiri district,1666,4113742.04406352
Arunachal Pradesh,2018,2,longding district,4634,10271170.165521314
Arunachal Pradesh,2018,2,west siang district,2579,7610989.567485569
Arunachal Pradesh,2018,2,kamle district,12,23654.058373191845
Arunachal Pradesh,2018,2,upper siang district,240,494895.09277159756
Arunachal Pradesh,2018,2,tirap district,1903,3126393.7649546335
Arunachal Pradesh,2018,2,papum pare district,25363,66520931.20355793
Arunachal Pradesh,2018,2,kurung kumey district,83,123737.2220411206
Arunachal Pradesh,2018,2,anjaw district,7,7871.020814692305
Arunachal Pradesh,2018,2,siang district,336,740232.6309634304
