State,Year,Quater,Pincodes,Registered_Users
Andhra Pradesh,2021,2,524002,126459
Andhra Pradesh,2021,2,530026,120973
Andhra Pradesh,2021,2,520010,119561
Andhra Pradesh,2021,3,517501,216777
Andhra Pradesh,2021,3,517507,194860
Andhra Pradesh,2021,3,515001,168654
Andhra Pradesh,2021,3,530016,164812
Andhra Pradesh,2021,3,518002,159802
Andhra Pradesh,2021,3,516001,158891
Andhra Pradesh,2021,3,516360,144068
Andhra Pradesh,2021,3,524002,135136
Andhra Pradesh,2021,3,530026,129270
Andhra Pradesh,2021,3,520010,127618
Andhra Pradesh,2021,4,517501,230688
Andhra Pradesh,2021,4,517507,207174
Andhra Pradesh,2021,4,515001,179763
Andhra Pradesh,2021,4,530016,175300
Andhra Pradesh,2021,4,518002,170267
Andhra Pradesh,2021,4,516001,169158
Andhra Pradesh,2021,4,516360,153381
Andhra Pradesh,2021,4,524002,143764
Andhra Pradesh,2021,4,530026,137812
Andhra Pradesh,2021,4,520010,135719
Andhra Pradesh,2022,1,517501,243791
Andhra Pradesh,2022,1,517507,218905
Andhra Pradesh,2022,1,515001,190203
Andhra Pradesh,2022,1,530016,185094
Andhra Pradesh,2022,1,518002,180102
Andhra Pradesh,2022,1,516001,179007
Andhra Pradesh,2022,1,516360,162263
Andhra Pradesh,2022,1,524002,151939
Andhra Pradesh,2022,1,530026,145842
Andhra Pradesh,2022,1,520010,143308
Andhra Pradesh,2022,2,517501,256290
Andhra Pradesh,2022,2,517507,229983
Andhra Pradesh,2022,2,515001,200266
Andhra Pradesh,2022,2,530016,194513
Andhra Pradesh,2022,2,518002,189505
Andhra Pradesh,2022,2,516001,188295
Andhra Pradesh,2022,2,516360,170855
Andhra Pradesh,2022,2,524002,159834
Andhra Pradesh,2022,2,530026,153586
Andhra Pradesh,2022,2,520010,150546
Andhra Pradesh,2022,3,517501,269370
Andhra Pradesh,2022,3,517507,241720
Andhra Pradesh,2022,3,515001,210661
Andhra Pradesh,2022,3,530016,204230
Andhra Pradesh,2022,3,518002,199354
Andhra Pradesh,2022,3,516001,197910
Andhra Pradesh,2022,3,516360,179806
Andhra Pradesh,2022,3,524002,168015
Andhra Pradesh,2022,3,530026,161715
Andhra Pradesh,2022,3,520010,158071
Andhra Pradesh,2022,4,517501,282766
Andhra Pradesh,2022,4,517507,253314
Andhra Pradesh,2022,4,515001,221328
Andhra Pradesh,2022,4,530016,214155
Andhra Pradesh,2022,4,518002,209376
Andhra Pradesh,2022,4,516001,207725
Andhra Pradesh,2022,4,516360,188768
Andhra Pradesh,2022,4,524002,176415
Andhra Pradesh,2022,4,530026,169957
Andhra Pradesh,2022,4,520010,165734
Andhra Pradesh,2023,1,517501,295420
Andhra Pradesh,2023,1,517507,264456
Andhra Pradesh,2023,1,515001,231542
Andhra Pradesh,2023,1,530016,223726
Andhra Pradesh,2023,1,518002,219100
Andhra Pradesh,2023,1,516001,217104
Andhra Pradesh,2023,1,516360,197437
Andhra Pradesh,2023,1,524002,184419
Andhra Pradesh,2023,1,530026,177985
Andhra Pradesh,2023,1,520010,173156
Andhra Pradesh,2023,2,517501,306201
Andhra Pradesh,2023,2,517507,273955
Andhra Pradesh,2023,2,515001,240176
Andhra Pradesh,2023,2,530016,231775
Andhra Pradesh,2023,2,518002,227292
Andhra Pradesh,2023,2,516001,225126
Andhra Pradesh,2023,2,516360,204900
Andhra Pradesh,2023,2,524002,191332
Andhra Pradesh,2023,2,530026,184561
Andhra Pradesh,2023,2,520001,179439
Andhra Pradesh,2023,3,517501,317981
Andhra Pradesh,2023,3,517507,284487
Andhra Pradesh,2023,3,515001,249655
Andhra Pradesh,2023,3,530016,240480
Andhra Pradesh,2023,3,518002,236199
Andhra Pradesh,2023,3,516001,233874
Andhra Pradesh,2023,3,516360,213165
Andhra Pradesh,2023,3,524002,198528
Andhra Pradesh,2023,3,530026,192066
Andhra Pradesh,2023,3,520001,186511
Andhra Pradesh,2023,4,517501,328762
Andhra Pradesh,2023,4,517507,293894
Andhra Pradesh,2023,4,515001,258235
Andhra Pradesh,2023,4,530016,248401
Andhra Pradesh,2023,4,518002,244371
Andhra Pradesh,2023,4,516001,242054
Andhra Pradesh,2023,4,516360,220919
Andhra Pradesh,2023,4,524002,205559
Andhra Pradesh,2023,4,530026,198977
Andhra Pradesh,2023,4,520001,192934
Arunachal Pradesh,2018,1,791110,2316
Arunachal Pradesh,2018,1,791111,2203
Arunachal Pradesh,2018,1,791113,1475
Arunachal Pradesh,2018,1,791102,1471
Arunachal Pradesh,2018,1,790104,1139
Arunachal Pradesh,2018,1,791001,969
Arunachal Pradesh,2018,1,791109,857
Arunachal Pradesh,2018,1,792103,829
Arunachal Pradesh,2018,1,792001,828
Arunachal Pradesh,2018,1,790116,766
Arunachal Pradesh,2018,2,791110,3488
Arunachal Pradesh,2018,2,791111,3272
Arunachal Pradesh,2018,2,791113,2219
Arunachal Pradesh,2018,2,791102,2212
Arunachal Pradesh,2018,2,790104,1698
Arunachal Pradesh,2018,2,792103,1457
Arunachal Pradesh,2018,2,791001,1421
Arunachal Pradesh,2018,2,792001,1315
Arunachal Pradesh,2018,2,791109,1231
Arunachal Pradesh,2018,2,790116,1213
Arunachal Pradesh,2018,3,791110,4872
Arunachal Pradesh,2018,3,791111,4610
Arunachal Pradesh,2018,3,791113,3178
Arunachal Pradesh,2018,3,791102,3077
Arunachal Pradesh,2018,3,790104,2328
Arunachal Pradesh,2018,3,792103,2067
Arunachal Pradesh,2018,3,791001,1907
Arunachal Pradesh,2018,3,792001,1819
Arunachal Pradesh,2018,3,790116,1623
Arunachal Pradesh,2018,3,791109,1612
Arunachal Pradesh,2018,4,791110,6599
Arunachal Pradesh,2018,4,791111,6225
Arunachal Pradesh,2018,4,791113,4115
Arunachal Pradesh,2018,4,791102,4109
Arunachal Pradesh,2018,4,790104,3034
Arunachal Pradesh,2018,4,792103,2741
Arunachal Pradesh,2018,4,792001,2577
Arunachal Pradesh,2018,4,791001,2444
Arunachal Pradesh,2018,4,790116,2206
Arunachal Pradesh,2018,4,791109,2071
Arunachal Pradesh,2019,1,791110,8094
Arunachal Pradesh,2019,1,791111,7673
Arunachal Pradesh,2019,1,791113,5140
Arunachal Pradesh,2019,1,791102,5030
Arunachal Pradesh,2019,1,790104,3751
Arunachal Pradesh,2019,1,792103,3477
Arunachal Pradesh,2019,1,792001,3160
Arunachal Pradesh,2019,1,791001,3103
Arunachal Pradesh,2019,1,790116,2798
Arunachal Pradesh,2019,1,791109,2519
Arunachal Pradesh,2019,2,791110,10055
Arunachal Pradesh,2019,2,791111,9597
Arunachal Pradesh,2019,2,791113,6418
Arunachal Pradesh,2019,2,791102,6283
Arunachal Pradesh,2019,2,790104,4437
Arunachal Pradesh,2019,2,792103,4369
Arunachal Pradesh,2019,2,791001,3960
Arunachal Pradesh,2019,2,792001,3918
Arunachal Pradesh,2019,2,790116,3335
Arunachal Pradesh,2019,2,791109,3151
Arunachal Pradesh,2019,3,791110,11834
Arunachal Pradesh,2019,3,791111,11464
